"Algorithm","Polygons","Max vertices","Avg vertices","b","Depth","Cost","Memory","Time","EBF","Frontier","Explored"
UC,2,14,12.0000,11,2,852.4975,18498,40,12.5096,109,59
A*-d2,2,14,12.0000,11,2,852.4975,2890,7,5.1789,28,3
A*-d6,2,14,12.0000,11,2,852.4975,5746,14,7.5777,54,10
UC,2,12,10.5000,9,5,336.2266,8596,19,2.0589,39,30
A*-d2,2,12,10.5000,9,5,336.2266,3204,8,1.6272,18,8
A*-d6,2,12,10.5000,9,5,336.2266,3924,9,1.7126,21,11
UC,2,7,6.0000,8,2,427.0277,5696,12,6.0000,21,20
A*-d2,2,7,6.0000,8,2,427.0277,1370,4,2.8541,8,2
A*-d6,2,7,6.0000,8,2,427.0277,1672,5,3.1401,9,3
UC,2,6,4.5000,6,2,786.8112,4600,12,5.2663,14,18
A*-d2,2,6,4.5000,6,2,786.8112,1724,5,3.4051,11,3
A*-d6,2,6,4.5000,6,2,786.8112,2516,5,3.8875,11,7
UC,2,13,12.5000,11,7,1683.9251,17706,46,1.7802,46,80
A*-d2,2,13,12.5000,11,7,1683.9251,9838,22,1.6639,54,31
A*-d6,2,13,12.5000,11,7,1683.9251,11440,25,1.6993,57,39
UC,2,8,6.5000,6,4,1673.0748,4586,11,1.9793,11,17
A*-d2,2,8,6.5000,6,4,1673.0748,1736,5,1.4922,7,4
A*-d6,2,8,6.5000,6,4,1673.0748,3640,8,1.9793,18,10
UC,2,18,17.0000,12,3,253.5847,16682,37,5.0232,104,52
A*-d2,2,18,17.0000,12,3,253.5847,1340,5,1.6608,5,3
A*-d6,2,18,17.0000,12,3,253.5847,6006,13,3.6166,52,11
UC,2,13,9.5000,6,7,289.7823,8506,26,1.5260,9,43
A*-d2,2,13,9.5000,6,7,289.7823,6282,14,1.4927,25,21
A*-d6,2,13,9.5000,6,7,289.7823,6696,15,1.4927,21,25
UC,2,8,5.5000,6,4,499.3709,5988,19,2.1315,5,31
A*-d2,2,8,5.5000,6,4,499.3709,3250,8,1.9363,17,9
A*-d6,2,8,5.5000,6,4,499.3709,4924,11,2.0960,14,20
UC,2,11,9.5000,8,2,1270.8785,12334,27,9.2596,44,50
A*-d2,2,11,9.5000,8,2,1270.8785,2708,6,4.6235,20,5
A*-d6,2,11,9.5000,8,2,1270.8785,3924,8,5.4372,24,10
UC,2,9,7.5000,7,6,1411.5306,8334,18,1.7050,17,39
A*-d2,2,9,7.5000,7,6,1411.5306,4792,10,1.5829,25,14
A*-d6,2,9,7.5000,7,6,1411.5306,7876,18,1.7050,25,31
UC,2,14,13.0000,9,6,538.0508,16194,36,1.9711,45,71
A*-d2,2,14,13.0000,9,6,538.0508,8480,18,1.8226,54,24
A*-d6,2,14,13.0000,9,6,538.0508,10154,22,1.8626,55,32
UC,2,10,7.0000,9,4,939.2620,10400,26,2.4950,7,55
A*-d2,2,10,7.0000,9,4,939.2620,7940,18,2.4232,22,34
A*-d6,2,10,7.0000,9,4,939.2620,8044,18,2.4232,21,35
UC,2,8,8.0000,7,3,522.3789,4974,12,2.9703,19,18
A*-d2,2,8,8.0000,7,3,522.3789,1428,6,1.6608,4,4
A*-d6,2,8,8.0000,7,3,522.3789,1428,5,1.6608,4,4
UC,2,11,7.5000,8,5,628.0786,6802,15,1.9077,26,24
A*-d2,2,11,7.5000,8,5,628.0786,3120,7,1.5951,16,8
A*-d6,2,11,7.5000,8,5,628.0786,3614,8,1.6573,18,10
UC,2,5,4.5000,6,2,445.7435,4102,10,4.8151,12,15
A*-d2,2,5,4.5000,6,2,445.7435,1136,3,2.3723,5,2
A*-d6,2,5,4.5000,6,2,445.7435,3118,7,4.4244,14,9
UC,2,9,8.5000,7,5,624.4425,7478,19,1.8700,13,33
A*-d2,2,9,8.5000,7,5,624.4425,3278,8,1.6573,21,7
A*-d6,2,9,8.5000,7,5,624.4425,4216,9,1.7504,24,11
UC,2,8,7.0000,7,2,259.7272,4306,10,5.6033,24,12
A*-d2,2,8,7.0000,7,2,259.7272,1272,3,2.7016,7,2
A*-d6,2,8,7.0000,7,2,259.7272,1878,4,3.0000,6,5
UC,2,8,7.5000,7,4,1372.5836,9544,21,2.6038,34,38
A*-d2,2,8,7.5000,7,4,1372.5836,5088,11,2.2748,31,14
A*-d6,2,8,7.5000,7,4,1372.5836,5360,11,2.2748,29,16
UC,2,9,6.0000,8,2,522.6966,4986,11,5.0902,11,19
A*-d2,2,9,6.0000,8,2,522.6966,1058,3,2.1926,4,2
A*-d6,2,9,6.0000,8,2,522.6966,1058,3,2.1926,4,2
UC,2,7,5.5000,6,4,933.4091,5304,12,2.1315,16,20
A*-d2,2,7,5.5000,6,4,933.4091,2326,6,1.7341,13,5
A*-d6,2,7,5.5000,6,4,933.4091,3130,7,1.8906,16,8
UC,2,4,3.5000,4,2,665.2302,2484,6,3.6533,6,10
A*-d2,2,4,3.5000,4,2,665.2302,1176,3,2.5414,6,2
A*-d6,2,4,3.5000,4,2,665.2302,1568,5,2.8541,6,4
UC,2,18,17.5000,13,4,291.3875,22522,50,3.4544,113,85
A*-d2,2,18,17.5000,13,4,291.3875,4550,11,2.3453,44,6
A*-d6,2,18,17.5000,13,4,291.3875,7070,15,2.6733,67,12
UC,2,9,6.5000,5,2,683.8499,5206,11,5.2663,10,22
A*-d2,2,9,6.5000,5,2,683.8499,1556,4,2.8541,6,4
A*-d6,2,9,6.5000,5,2,683.8499,4632,9,4.8151,7,20
UC,2,9,8.5000,8,3,752.9540,7942,18,3.5524,29,31
A*-d2,2,9,8.5000,8,3,752.9540,2476,8,2.4848,19,4
A*-d6,2,9,8.5000,8,3,752.9540,4962,11,3.1411,29,14
UC,4,9,6.7500,12,4,805.3753,23148,53,3.2796,55,109
A*-d2,4,9,6.7500,12,4,805.3753,3050,11,2.0201,26,4
A*-d6,4,9,6.7500,12,4,805.3753,8750,19,2.7110,59,24
UC,4,17,11.0000,10,7,453.5401,32300,71,1.9007,11,175
A*-d2,4,17,11.0000,10,7,453.5401,9888,23,1.6429,46,33
A*-d6,4,17,11.0000,10,7,453.5401,11882,37,1.6932,54,40
UC,4,10,5.7500,13,3,899.4634,23402,52,4.9883,31,122
A*-d2,4,10,5.7500,13,3,899.4634,4228,12,3.1138,35,7
A*-d6,4,10,5.7500,13,3,899.4634,14544,31,4.5851,66,55
UC,4,7,4.5000,13,2,840.2821,21918,46,10.8688,19,109
A*-d2,4,7,4.5000,13,2,840.2821,2594,6,4.8151,24,3
A*-d6,4,7,4.5000,13,2,840.2821,12090,26,9.9523,68,40
UC,4,17,12.7500,11,8,357.2855,29488,65,1.7589,77,132
A*-d2,4,17,12.7500,11,8,357.2855,7844,17,1.5004,53,20
A*-d6,4,17,12.7500,11,8,357.2855,12084,27,1.6173,90,29
UC,4,18,9.0000,18,4,911.4700,33950,77,3.6902,92,160
A*-d2,4,18,9.0000,18,4,911.4700,5934,14,2.4477,44,14
A*-d6,4,18,9.0000,18,4,911.4700,14752,33,3.0070,64,56
UC,4,7,6.0000,14,3,1366.8426,19874,43,4.9412,58,91
A*-d2,4,7,6.0000,14,3,1366.8426,3742,8,3.0000,32,6
A*-d6,4,7,6.0000,14,3,1366.8426,7254,16,3.8170,57,16
UC,4,13,7.7500,12,4,949.1798,27242,60,3.2851,26,139
A*-d2,4,13,7.7500,12,4,949.1798,5538,12,2.3720,40,12
A*-d6,4,13,7.7500,12,4,949.1798,6418,13,2.3720,35,17
UC,4,16,12.5000,11,5,734.1378,34726,83,2.6746,16,200
A*-d2,4,16,12.5000,11,5,734.1378,8268,18,2.1190,57,21
A*-d6,4,16,12.5000,11,5,734.1378,12826,29,2.2802,63,44
UC,4,18,10.7500,14,5,730.3105,31282,73,2.6549,44,165
A*-d2,4,18,10.7500,14,5,730.3105,16784,36,2.4596,94,55
A*-d6,4,18,10.7500,14,5,730.3105,21522,47,2.5342,83,87
UC,4,9,6.7500,17,3,396.1312,13578,29,4.7180,88,43
A*-d2,4,9,6.7500,17,3,396.1312,3498,8,3.0292,36,3
A*-d6,4,9,6.7500,17,3,396.1312,7612,16,4.0175,70,14
UC,4,17,9.5000,19,4,1360.1700,46872,109,4.0777,157,207
A*-d2,4,17,9.5000,19,4,1360.1700,31904,71,3.8305,170,119
A*-d6,4,17,9.5000,19,4,1360.1700,35712,77,3.8835,161,143
UC,4,8,6.7500,11,4,268.4544,21956,49,3.2230,50,104
A*-d2,4,8,6.7500,11,4,268.4544,5386,12,2.4232,46,10
A*-d6,4,8,6.7500,11,4,268.4544,8874,20,2.8080,75,19
UC,4,17,15.0000,28,7,1281.6096,82244,207,2.3377,282,382
A*-d2,4,17,15.0000,28,7,1281.6096,12882,28,1.8251,124,22
A*-d6,4,17,15.0000,28,7,1281.6096,17754,40,1.9254,166,35
UC,4,13,8.7500,16,3,425.2360,39678,94,6.1847,69,211
A*-d2,4,13,8.7500,16,3,425.2360,6020,14,3.6991,58,9
A*-d6,4,13,8.7500,16,3,425.2360,13932,29,4.9883,122,31
UC,4,13,10.2500,21,9,1255.0513,41912,99,1.6980,54,228
A*-d2,4,13,10.2500,21,9,1255.0513,12688,30,1.5368,105,28
A*-d6,4,13,10.2500,21,9,1255.0513,15832,34,1.5768,121,40
UC,4,14,9.7500,24,6,1122.8438,46592,112,2.4997,210,194
A*-d2,4,14,9.7500,24,6,1122.8438,18300,47,2.2278,185,34
A*-d6,4,14,9.7500,24,6,1122.8438,20158,44,2.2704,204,38
UC,4,10,7.2500,10,4,1162.0653,18360,40,3.1264,56,82
A*-d2,4,10,7.2500,10,4,1162.0653,3738,9,2.1315,30,6
A*-d6,4,10,7.2500,10,4,1162.0653,5856,12,2.4477,47,11
UC,4,10,6.2500,12,3,326.9280,14804,31,4.6391,68,57
A*-d2,4,10,6.2500,12,3,326.9280,4656,11,3.2718,39,9
A*-d6,4,10,6.2500,12,3,326.9280,5682,12,3.5084,46,12
UC,4,9,5.5000,13,3,922.1889,27066,57,5.0915,28,134
A*-d2,4,9,5.5000,13,3,922.1889,4130,10,3.2207,41,5
A*-d6,4,9,5.5000,13,3,922.1889,6564,14,3.8170,62,11
UC,4,14,11.5000,20,7,258.8881,25630,56,1.9108,77,115
A*-d2,4,14,11.5000,20,7,258.8881,7048,17,1.5789,43,20
A*-d6,4,14,11.5000,20,7,258.8881,9330,23,1.6393,46,32
UC,4,20,12.0000,19,3,343.1842,22772,47,4.8196,35,104
A*-d2,4,20,12.0000,19,3,343.1842,3822,8,2.8780,26,8
A*-d6,4,20,12.0000,19,3,343.1842,13506,28,4.2488,45,53
UC,4,13,9.2500,13,4,384.6618,20934,44,3.3598,104,75
A*-d2,4,13,9.2500,13,4,384.6618,2982,7,2.0201,26,4
A*-d6,4,13,9.2500,13,4,384.6618,5328,11,2.4355,49,8
UC,4,9,7.5000,15,2,1147.9987,26176,60,12.9629,43,137
A*-d2,4,9,7.5000,15,2,1147.9987,3096,8,5.3523,30,3
A*-d6,4,9,7.5000,15,2,1147.9987,4640,10,6.4462,39,8
UC,4,16,11.2500,18,3,1212.9785,45572,100,7.1095,244,172
A*-d2,4,16,11.2500,18,3,1212.9785,8926,19,4.4590,102,10
A*-d6,4,16,11.2500,18,3,1212.9785,12012,27,4.9293,130,18
UC,6,19,10.6667,31,8,715.9729,106004,252,2.1683,437,467
A*-d2,6,19,10.6667,31,8,715.9729,11032,36,1.6556,128,11
A*-d6,6,19,10.6667,31,8,715.9729,43592,96,2.0262,487,71
UC,6,14,11.5000,36,9,990.9613,126118,304,2.0089,502,556
A*-d2,6,14,11.5000,36,9,990.9613,44304,103,1.8243,377,115
A*-d6,6,14,11.5000,36,9,990.9613,64010,148,1.9042,504,186
UC,6,12,8.6667,26,7,114.1429,22528,52,1.9544,145,75
A*-d2,6,12,8.6667,26,7,114.1429,12292,29,1.7966,108,25
A*-d6,6,12,8.6667,26,7,114.1429,17110,38,1.9157,162,33
UC,6,10,6.1667,18,3,719.6856,54032,118,6.6639,52,294
A*-d2,6,10,6.1667,18,3,719.6856,17826,37,5.4694,156,42
A*-d6,6,10,6.1667,18,3,719.6856,32590,69,6.2312,158,128
UC,6,15,10.0000,29,5,436.3316,107320,248,3.7009,515,434
A*-d2,6,15,10.0000,29,5,436.3316,10664,23,2.4049,124,11
A*-d6,6,15,10.0000,29,5,436.3316,23768,51,2.9112,289,27
UC,6,14,7.8333,23,3,510.9610,31908,69,6.2389,163,124
A*-d2,6,14,7.8333,23,3,510.9610,3420,8,2.7462,23,7
A*-d6,6,14,7.8333,23,3,510.9610,16922,39,5.1908,119,52
UC,6,17,11.5000,25,5,852.9026,121518,312,3.5196,36,716
A*-d2,6,17,11.5000,25,5,852.9026,26912,59,2.8628,228,65
A*-d6,6,17,11.5000,25,5,852.9026,29152,62,2.8628,215,78
UC,6,17,11.6667,27,6,1460.6659,137560,393,2.8850,97,783
A*-d2,6,17,11.6667,27,6,1460.6659,30616,70,2.4376,283,70
A*-d6,6,17,11.6667,27,6,1460.6659,99930,253,2.8711,439,418
UC,6,8,5.1667,17,4,525.3372,29822,60,3.6741,136,112
A*-d2,6,8,5.1667,17,4,525.3372,5906,13,2.5289,56,9
A*-d6,6,8,5.1667,17,4,525.3372,9844,21,2.8889,81,23
UC,6,8,5.3333,21,3,869.2923,53894,105,6.6367,107,235
A*-d2,6,8,5.3333,21,3,869.2923,8902,20,4.3260,88,15
A*-d6,6,8,5.3333,21,3,869.2923,10260,22,4.4734,92,21
UC,6,11,7.6667,15,5,335.0438,45206,101,2.8585,41,250
A*-d2,6,11,7.6667,15,5,335.0438,16792,44,2.5172,116,49
A*-d6,6,11,7.6667,15,5,335.0438,24574,54,2.6690,125,89
UC,6,11,5.5000,24,4,841.2423,52956,121,4.0502,66,289
A*-d2,6,11,5.5000,24,4,841.2423,17532,37,3.4399,155,40
A*-d6,6,11,5.5000,24,4,841.2423,21712,44,3.5906,173,55
UC,6,14,8.5000,28,3,397.3716,7652,16,3.9646,67,14
A*-d2,6,14,8.5000,28,3,397.3716,2258,5,2.3567,17,3
A*-d6,6,14,8.5000,28,3,397.3716,2258,5,2.3567,17,3
UC,6,11,7.8333,25,3,425.1541,29498,63,5.8821,118,125
A*-d2,6,11,7.8333,25,3,425.1541,3250,8,2.9094,32,3
A*-d6,6,11,7.8333,25,3,425.1541,3250,7,2.9094,32,3
UC,6,11,8.3333,20,6,1130.3886,52572,119,2.5043,153,255
A*-d2,6,11,8.3333,20,6,1130.3886,14266,31,2.1054,138,25
A*-d6,6,11,8.3333,20,6,1130.3886,36908,84,2.4219,207,134
UC,6,14,9.5000,23,5,342.8868,36172,79,2.8563,136,154
A*-d2,6,14,9.5000,23,5,342.8868,12302,34,2.3455,89,32
A*-d6,6,14,9.5000,23,5,342.8868,13586,28,2.3843,93,37
UC,6,12,8.3333,23,6,960.5948,44834,99,2.4963,230,171
A*-d2,6,12,8.3333,23,6,960.5948,5132,11,1.6229,32,12
A*-d6,6,12,8.3333,23,6,960.5948,10650,23,1.9777,100,18
UC,6,12,8.0000,20,4,922.5171,85374,171,4.3509,34,429
A*-d2,6,12,8.0000,20,4,922.5171,12340,27,3.0683,99,30
A*-d6,6,12,8.0000,20,4,922.5171,26750,56,3.6078,136,96
UC,6,9,5.1667,20,3,578.3247,15624,31,5.1361,127,39
A*-d2,6,9,5.1667,20,3,578.3247,2660,6,2.6397,24,3
A*-d6,6,9,5.1667,20,3,578.3247,4088,9,3.1680,39,5
UC,6,12,8.6667,22,5,294.7499,27506,64,2.7733,156,98
A*-d2,6,12,8.6667,22,5,294.7499,8644,19,2.2449,87,13
A*-d6,6,12,8.6667,22,5,294.7499,20762,45,2.6938,169,54
UC,6,9,6.1667,14,4,573.1587,38936,88,3.6942,34,219
A*-d2,6,9,6.1667,14,4,573.1587,11178,24,2.9496,82,30
A*-d6,6,9,6.1667,14,4,573.1587,24648,50,3.5820,141,85
UC,6,11,7.6667,21,7,1223.1748,67866,167,2.2043,90,370
A*-d2,6,11,7.6667,21,7,1223.1748,13566,29,1.8515,137,22
A*-d6,6,11,7.6667,21,7,1223.1748,16142,35,1.8832,141,35
UC,6,15,9.8333,30,5,499.0518,63656,141,3.4258,463,201
A*-d2,6,15,9.8333,30,5,499.0518,15368,35,2.6078,170,23
A*-d6,6,15,9.8333,30,5,499.0518,18420,41,2.6965,191,33
UC,6,17,9.3333,34,6,431.7722,31764,67,2.4350,274,77
A*-d2,6,17,9.3333,34,6,431.7722,4370,10,1.5286,21,12
A*-d6,6,17,9.3333,34,6,431.7722,15242,33,2.1273,145,27
UC,6,12,8.5000,25,6,304.0021,31706,67,2.3732,205,101
A*-d2,6,12,8.5000,25,6,304.0021,13268,29,2.0773,128,24
A*-d6,6,12,8.5000,25,6,304.0021,16952,36,2.1790,164,31
UC,6,15,10.3333,27,8,375.2167,44290,98,1.9226,206,180
A*-d2,6,15,10.3333,27,8,375.2167,13250,29,1.6844,135,21
A*-d6,6,15,10.3333,27,8,375.2167,25610,57,1.8160,183,77
UC,8,18,9.8750,40,4,574.5648,83890,178,5.3802,849,178
A*-d2,8,18,9.8750,40,4,574.5648,6576,14,2.6637,72,6
A*-d6,8,18,9.8750,40,4,574.5648,6738,14,2.6637,71,7
UC,8,14,8.1250,27,4,330.0110,27472,58,3.8870,238,67
A*-d2,8,14,8.1250,27,4,330.0110,4250,10,2.3316,45,4
A*-d6,8,14,8.1250,27,4,330.0110,5064,11,2.4477,52,6
UC,8,13,9.1250,32,6,168.1244,57076,126,2.7059,460,160
A*-d2,8,13,9.1250,32,6,168.1244,12758,28,2.0903,141,16
A*-d6,8,13,9.1250,32,6,168.1244,16838,38,2.1938,174,28
UC,8,17,9.2500,42,3,114.9592,19292,41,5.8992,217,28
A*-d2,8,17,9.2500,42,3,114.9592,14384,31,5.3489,170,16
A*-d6,8,17,9.2500,42,3,114.9592,14684,32,5.3489,167,19
UC,8,17,9.2500,34,5,584.8425,113140,289,3.5356,114,654
A*-d2,8,17,9.2500,34,5,584.8425,37572,85,3.0616,290,107
A*-d6,8,17,9.2500,34,5,584.8425,95620,223,3.4513,215,472
UC,8,9,5.5000,26,4,450.9153,32056,68,4.0409,266,86
A*-d2,8,9,5.5000,26,4,450.9153,5250,12,2.5177,60,4
A*-d6,8,9,5.5000,26,4,450.9153,9556,20,3.0482,119,7
UC,8,11,7.0000,22,3,1122.1678,72260,170,7.5611,105,391
A*-d2,8,11,7.0000,22,3,1122.1678,5174,12,3.3938,44,9
A*-d6,8,11,7.0000,22,3,1122.1678,36856,78,6.8423,267,106
UC,8,9,7.0000,31,5,740.3022,53050,115,3.2791,376,167
A*-d2,8,9,7.0000,31,5,740.3022,12036,26,2.4707,138,14
A*-d6,8,9,7.0000,31,5,740.3022,20722,44,2.7830,226,32
UC,8,18,10.5000,32,6,547.8772,130834,312,3.0383,630,540
A*-d2,8,18,10.5000,32,6,547.8772,13600,31,2.1459,169,11
A*-d6,8,18,10.5000,32,6,547.8772,36404,81,2.5577,396,61
UC,8,11,7.6250,27,2,358.6178,66646,156,22.5489,220,310
A*-d2,8,11,7.6250,27,2,358.6178,11050,25,11.0434,114,18
A*-d6,8,11,7.6250,27,2,358.6178,12830,28,11.9197,132,21
UC,8,9,6.8750,29,3,1055.9987,106632,267,8.6472,147,582
A*-d2,8,9,6.8750,29,3,1055.9987,13460,29,5.1471,149,18
A*-d6,8,9,6.8750,29,3,1055.9987,26468,60,6.5044,277,46
UC,8,20,11.0000,37,4,321.1933,33616,77,4.0409,253,99
A*-d2,8,20,11.0000,37,4,321.1933,13688,30,3.2172,126,27
A*-d6,8,20,11.0000,37,4,321.1933,18562,42,3.5289,177,37
UC,8,13,7.3750,25,5,1036.7084,78422,190,3.2106,30,463
A*-d2,8,13,7.3750,25,5,1036.7084,40004,86,3.0582,269,126
A*-d6,8,13,7.3750,25,5,1036.7084,44572,96,3.0582,223,172
UC,8,14,12.2500,33,4,391.3651,115188,270,5.4906,685,424
A*-d2,8,14,12.2500,33,4,391.3651,23202,52,3.8484,261,33
A*-d6,8,14,12.2500,33,4,391.3651,32320,72,4.1857,345,56
UC,8,12,9.1250,30,4,1132.8910,60576,133,4.6763,411,195
A*-d2,8,12,9.1250,30,4,1132.8910,5882,13,2.5830,65,5
A*-d6,8,12,9.1250,30,4,1132.8910,12986,28,3.1817,123,24
UC,8,8,5.8750,25,4,1112.3557,111720,253,4.7685,88,564
A*-d2,8,8,5.8750,25,4,1112.3557,6126,13,2.6539,73,4
A*-d6,8,8,5.8750,25,4,1112.3557,6126,13,2.6539,73,4
UC,8,14,10.7500,34,4,590.8409,153248,380,5.6379,538,688
A*-d2,8,14,10.7500,34,4,590.8409,10954,24,3.1327,128,11
A*-d6,8,14,10.7500,34,4,590.8409,22126,49,3.7716,238,35
UC,8,10,7.3750,32,3,337.8904,43224,98,7.5558,389,106
A*-d2,8,10,7.3750,32,3,337.8904,4608,11,3.4404,52,3
A*-d6,8,10,7.3750,32,3,337.8904,8988,19,4.4008,98,10
UC,8,17,8.1250,25,4,565.6745,106526,290,4.8185,42,636
A*-d2,8,17,8.1250,25,4,565.6745,57180,125,4.5676,359,196
A*-d6,8,17,8.1250,25,4,565.6745,79612,183,4.7430,278,361
UC,8,16,9.0000,37,4,951.6533,121804,305,5.3068,387,588
A*-d2,8,16,9.0000,37,4,951.6533,22370,49,3.8233,256,31
A*-d6,8,16,9.0000,37,4,951.6533,32958,71,4.1107,299,76
UC,8,16,10.6250,28,7,478.5184,157316,424,2.4994,106,907
A*-d2,8,16,10.6250,28,7,478.5184,43456,100,2.2043,335,125
A*-d6,8,16,10.6250,28,7,478.5184,47520,108,2.2253,344,144
UC,8,14,9.0000,36,4,598.7250,94824,224,5.1630,499,380
A*-d2,8,14,9.0000,36,4,598.7250,11666,25,3.1996,139,11
A*-d6,8,14,9.0000,36,4,598.7250,32666,71,4.1773,335,63
UC,8,8,5.8750,20,5,602.7891,66660,156,3.1126,48,380
A*-d2,8,8,5.8750,20,5,602.7891,29468,63,2.8693,206,90
A*-d6,8,8,5.8750,20,5,602.7891,46298,100,3.0867,232,180
UC,8,10,7.0000,29,5,862.4673,69192,167,3.2921,232,321
A*-d2,8,10,7.0000,29,5,862.4673,13500,31,2.4520,118,29
A*-d6,8,10,7.0000,29,5,862.4673,42660,96,3.0900,270,144
UC,8,8,6.1250,25,5,555.7731,78464,174,3.2817,150,395
A*-d2,8,8,6.1250,25,5,555.7731,10192,22,2.3320,102,16
A*-d6,8,8,6.1250,25,5,555.7731,16140,42,2.5862,156,30
UC,10,11,8.6000,43,4,369.0005,112602,273,5.4023,593,450
A*-d2,10,11,8.6000,43,4,369.0005,14568,34,3.3442,154,22
A*-d6,10,11,8.6000,43,4,369.0005,25564,57,3.9144,268,45
UC,10,18,11.5000,41,5,501.4439,208680,540,4.3531,1236,791
A*-d2,10,18,11.5000,41,5,501.4439,56410,130,3.5104,658,85
A*-d6,10,18,11.5000,41,5,501.4439,70290,165,3.6020,675,162
UC,10,10,6.3000,32,3,251.8071,59062,134,7.8141,317,228
A*-d2,10,10,6.3000,32,3,251.8071,7292,16,4.1851,89,5
A*-d6,10,10,6.3000,32,3,251.8071,15066,32,5.3795,170,19
UC,10,16,12.5000,49,5,360.3039,210406,639,4.0352,264,1156
A*-d2,10,16,12.5000,49,5,360.3039,30654,70,3.0751,369,36
A*-d6,10,16,12.5000,49,5,360.3039,82764,195,3.6814,708,218
UC,10,16,9.7000,45,5,522.2957,139824,379,3.9969,823,535
A*-d2,10,16,9.7000,45,5,522.2957,26594,75,2.9607,302,39
A*-d6,10,16,9.7000,45,5,522.2957,29506,72,3.0163,325,46
UC,10,17,9.5000,37,5,563.1368,141368,372,3.9525,700,589
A*-d2,10,17,9.5000,37,5,563.1368,13756,31,2.4961,135,24
A*-d6,10,17,9.5000,37,5,563.1368,14458,32,2.4961,128,31
UC,10,16,9.9000,51,4,636.7832,252946,697,6.5937,1142,1084
A*-d2,10,16,9.9000,51,4,636.7832,25960,62,4.0347,322,28
A*-d6,10,16,9.9000,51,4,636.7832,56602,130,4.7568,502,144
UC,10,14,8.8000,32,6,423.2475,89934,213,2.8436,449,364
A*-d2,10,14,8.8000,32,6,423.2475,18098,42,2.2523,208,24
A*-d6,10,14,8.8000,32,6,423.2475,24782,56,2.3960,288,34
UC,10,8,5.0000,31,3,785.3239,58094,130,7.7789,310,228
A*-d2,10,8,5.0000,31,3,785.3239,4446,10,3.3216,46,4
A*-d6,10,8,5.0000,31,3,785.3239,15134,31,5.3489,164,22
UC,10,9,5.6000,32,2,161.0449,15366,30,13.3654,170,21
A*-d2,10,9,5.6000,32,2,161.0449,1810,5,3.7720,15,2
A*-d6,10,9,5.6000,32,2,161.0449,2978,8,5.2663,29,3
UC,10,18,9.6000,29,6,535.7456,66466,160,2.5740,142,331
A*-d2,10,18,9.6000,29,6,535.7456,30030,67,2.3478,202,87
A*-d6,10,18,9.6000,29,6,535.7456,35812,78,2.4125,222,112
UC,10,13,8.1000,47,3,178.4787,32540,69,7.0854,361,51
A*-d2,10,13,8.1000,47,3,178.4787,8712,19,4.4590,106,6
A*-d6,10,13,8.1000,47,3,178.4787,13504,29,5.2551,166,11
UC,10,13,9.0000,44,6,923.9220,106214,257,2.9372,541,430
A*-d2,10,13,9.0000,44,6,923.9220,20132,45,2.2560,194,40
A*-d6,10,13,9.0000,44,6,923.9220,33382,74,2.4810,319,69
UC,10,11,7.3000,35,3,498.4520,73620,175,8.3135,348,303
A*-d2,10,11,7.3000,35,3,498.4520,24800,54,6.3595,258,45
A*-d6,10,11,7.3000,35,3,498.4520,37382,81,7.2217,350,85
UC,10,8,5.1000,28,3,241.4866,18706,39,5.4398,147,48
A*-d2,10,8,5.1000,28,3,241.4866,3900,8,3.1411,39,4
A*-d6,10,8,5.1000,28,3,241.4866,6884,16,3.9467,71,9
UC,10,9,6.5000,34,4,201.8466,46522,98,4.4152,370,119
A*-d2,10,9,6.5000,34,4,201.8466,6658,15,2.7473,83,4
A*-d6,10,9,6.5000,34,4,201.8466,8992,19,3.0000,113,6
UC,10,20,12.8000,56,4,278.6620,160882,396,6.2243,1331,455
A*-d2,10,20,12.8000,56,4,278.6620,22058,52,3.8520,275,20
A*-d6,10,20,12.8000,56,4,278.6620,35228,81,4.3784,436,38
UC,10,19,11.9000,43,4,934.9639,342674,1265,6.7004,444,1923
A*-d2,10,19,11.9000,43,4,934.9639,11698,28,3.2629,154,7
A*-d6,10,19,11.9000,43,4,934.9639,42836,104,4.5410,471,72
UC,10,16,9.4000,47,5,833.3308,186998,545,3.8931,129,1072
A*-d2,10,16,9.4000,47,5,833.3308,47718,106,3.2973,456,101
A*-d6,10,16,9.4000,47,5,833.3308,88852,203,3.5936,500,328
UC,10,17,10.9000,55,4,478.3590,130398,304,5.8276,964,426
A*-d2,10,17,10.9000,55,4,478.3590,4754,12,2.4232,51,5
A*-d6,10,17,10.9000,55,4,478.3590,23716,51,3.9479,304,19
UC,10,13,9.0000,45,4,441.6318,37824,82,4.1829,296,104
A*-d2,10,13,9.0000,45,4,441.6318,7930,19,2.7202,68,16
A*-d6,10,13,9.0000,45,4,441.6318,12344,25,3.0945,108,25
UC,10,14,9.9000,40,5,829.2055,227670,709,4.1698,423,1233
A*-d2,10,14,9.9000,40,5,829.2055,13896,30,2.5607,164,14
A*-d6,10,14,9.9000,40,5,829.2055,17776,40,2.6992,204,21
UC,10,11,8.7000,37,7,449.3575,155352,392,2.6428,828,618
A*-d2,10,11,8.7000,37,7,449.3575,26936,60,2.1041,309,36
A*-d6,10,11,8.7000,37,7,449.3575,57436,125,2.3371,524,139
UC,10,17,10.6000,45,3,340.3500,95186,229,9.7837,750,291
A*-d2,10,17,10.6000,45,3,340.3500,6688,15,4.0000,78,5
